 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     -1.671E-02 -1.022E-01     0.000E+00 0.000E+00
   37.040156      57.743509     -3.595E-02 -9.519E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -5.428E-02 -8.671E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -7.062E-02 -7.728E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -8.398E-02 -6.724E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -9.358E-02 -5.677E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -9.890E-02 -4.593E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -9.966E-02 -3.475E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -9.585E-02 -2.317E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -8.770E-02 -1.111E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -7.576E-02 1.558E-03     0.000E+00 0.000E+00
   37.040156      60.036842     -6.086E-02 1.492E-02     0.000E+00 0.000E+00
   37.040156      60.266175     -4.412E-02 2.899E-02     0.000E+00 0.000E+00
   37.040156      60.495509     -2.692E-02 4.355E-02     0.000E+00 0.000E+00
   37.040156      60.724842     -1.076E-02 5.812E-02     0.000E+00 0.000E+00
   37.040156      60.954175     2.926E-03 7.182E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -1.840E-02 4.186E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -2.548E-02 3.653E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -3.155E-02 3.018E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -3.653E-02 2.303E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -4.033E-02 1.521E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -4.276E-02 6.804E-03     0.000E+00 0.000E+00
   150.456342      140.751520     -4.355E-02 -2.053E-03     0.000E+00 0.000E+00
   150.456342      140.980854     -4.238E-02 -1.109E-02     0.000E+00 0.000E+00
   150.456342      141.210187     -3.894E-02 -1.987E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -3.310E-02 -2.778E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -2.494E-02 -3.410E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -1.489E-02 -3.812E-02     0.000E+00 0.000E+00
   150.456342      142.127520     -3.667E-03 -3.927E-02     0.000E+00 0.000E+00
   150.456342      142.356854     7.745E-03 -3.723E-02     0.000E+00 0.000E+00
   150.456342      142.586187     1.822E-02 -3.209E-02     0.000E+00 0.000E+00
   150.456342      142.815520     2.667E-02 -2.433E-02     0.000E+00 0.000E+00
